Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,21.7,27.4,17.4,43.6,78,20,1008.3,1010.4,1005.4,0.0,15.6,SE,72.4
2010-01-02,17.5,20.8,14.1,58.6,82,37,1009.4,1012.0,1007.5,0.0,7.7,W,48.3
2010-01-03,16.5,19.1,14.3,54.4,68,38,1012.8,1015.0,1011.3,0.0,8.5,WNW,45.1
2010-01-04,14.0,15.9,11.9,62.5,70,53,1018.9,1021.5,1014.6,0.0,13.9,N,57.9
2010-01-05,14.4,16.8,11.7,70.2,79,63,1019.2,1021.5,1016.4,0.0,13.1,S,62.8
2010-01-06,17.1,18.0,13.5,69.4,76,64,1016.5,1018.7,1014.4,0.0,40.4,S,98.2
2010-01-07,17.7,19.2,15.3,70.1,80,56,1017.4,1019.6,1015.7,0.0,28.0,S,77.2
2010-01-08,17.0,18.1,14.6,70.2,77,50,1019.0,1021.0,1016.6,0.0,32.6,S,75.6
2010-01-09,18.3,20.7,16.9,77.0,83,59,1016.3,1017.3,1015.3,0.2,29.0,S,83.7
2010-01-10,17.6,19.3,15.0,67.8,82,43,1014.8,1016.0,1013.6,0.0,11.6,SE,53.1
2010-01-11,14.8,17.2,13.0,55.6,68,44,1018.0,1019.7,1016.4,0.0,6.3,W,35.4
2010-01-12,14.2,16.6,12.8,66.2,77,58,1012.7,1017.1,1009.8,1.0,7.5,W,62.8
2010-01-13,14.8,17.1,13.2,65.1,75,56,1009.3,1010.5,1007.4,0.0,5.7,W,30.6
2010-01-14,14.9,18.9,11.9,71.5,87,44,1007.1,1010.5,1005.0,3.8,7.4,WNW,38.6
2010-01-15,15.1,17.1,13.6,75.3,88,67,1013.9,1015.9,1010.6,2.0,5.7,NNW,29.0
2010-01-16,15.3,17.6,12.1,75.2,85,66,1015.1,1016.0,1013.7,2.4,8.4,S,40.2
2010-01-17,14.8,17.0,12.9,80.3,90,72,1014.7,1015.9,1013.8,26.6,9.1,WNW,45.1
2010-01-18,13.2,14.9,11.8,84.9,93,79,1012.1,1013.9,1010.9,40.2,10.1,NW,40.2
