Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,16.6,18.7,14.4,79.8,90,66,997.5,1002.2,995.6,0.0,23.1,SW,59.5
2010-01-02,13.1,16.0,8.1,75.8,88,66,998.8,1003.5,995.7,0.0,17.4,WSW,54.7
2010-01-03,6.8,12.2,1.0,86.6,96,70,1008.0,1014.9,1003.3,8.2,6.8,ENE,32.2
2010-01-04,1.8,5.8,-0.1,70.9,92,45,1021.8,1024.5,1015.2,1.0,5.8,NE,27.4
2010-01-05,4.1,9.0,-0.2,78.3,86,71,1019.7,1023.6,1014.0,0.0,8.6,NE,24.1
2010-01-06,15.3,17.6,8.8,83.9,91,78,1010.1,1013.8,1007.9,0.0,28.8,SSW,70.8
2010-01-07,15.1,17.3,11.4,88.5,95,81,1013.9,1018.7,1009.8,0.0,12.0,SSW,59.5
2010-01-08,12.4,16.6,9.7,91.3,98,77,1020.1,1022.2,1017.6,0.2,3.6,N,14.5
2010-01-09,14.1,17.3,9.2,85.6,95,77,1014.9,1017.5,1011.8,0.0,5.9,SSE,38.6
2010-01-10,13.9,16.3,10.3,85.8,95,77,1007.8,1011.9,1005.8,17.6,12.3,SW,59.5
2010-01-11,9.4,14.9,5.1,78.5,92,55,1012.0,1014.1,1007.2,0.0,6.2,N,29.0
2010-01-12,8.8,12.7,3.6,85.5,94,70,1011.4,1013.2,1008.7,0.6,7.2,NE,29.0
2010-01-13,5.7,8.2,4.5,87.5,95,81,1010.1,1012.1,1008.2,8.6,11.6,NNE,40.2
2010-01-14,5.2,8.4,3.7,81.9,89,73,1013.5,1016.6,1011.4,0.0,12.7,NE,40.2
2010-01-15,4.9,6.6,3.4,74.7,80,64,1020.3,1024.7,1016.7,0.0,14.4,NE,38.6
2010-01-16,3.0,4.8,1.3,72.9,81,65,1026.8,1028.5,1024.6,0.0,20.2,NE,53.1
2010-01-17,5.3,6.6,2.4,78.1,89,74,1024.2,1027.1,1020.2,0.0,17.2,NE,46.7
2010-01-18,5.7,7.5,3.8,93.3,96,88,1016.7,1020.1,1014.2,2.4,2.3,NW,14.5
2010-01-19,2.7,5.3,-1.0,80.5,94,70,1014.8,1016.3,1013.7,0.0,8.9,NW,25.7
2010-01-20,0.2,3.7,-1.8,81.3,89,73,1016.9,1019.0,1015.6,0.0,11.1,ENE,32.2
2010-01-21,0.9,3.7,-1.8,77.4,82,70,1020.8,1021.8,1019.0,0.0,9.4,ENE,38.6
2010-01-22,0.3,1.3,-0.8,71.5,80,62,1017.0,1020.4,1013.5,0.0,25.0,NNE,61.2
2010-01-23,-2.6,1.1,-6.3,76.9,87,66,1023.5,1027.6,1018.1,0.2,10.7,ENE,45.1
2010-01-24,-3.4,0.7,-6.3,54.5,71,35,1028.5,1031.4,1026.7,0.0,13.1,ENE,33.8
2010-01-25,-5.3,-1.2,-9.1,42.2,54,30,1036.1,1039.7,1031.5,0.0,15.3,NE,46.7
