Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,12.5,16.9,6.2,56.4,82,34,993.4,995.3,991.8,3.8,10.8,SW,51.5
2010-01-02,7.9,10.4,3.4,71.4,89,60,997.5,1003.6,992.1,4.0,9.4,SW,51.5
2010-01-03,2.4,6.1,-2.3,85.3,95,57,1008.2,1016.5,1002.3,1.0,6.9,NNW,41.8
2010-01-04,-0.9,1.2,-4.7,68.7,85,51,1019.4,1021.7,1016.5,0.0,2.3,ENE,19.3
2010-01-05,1.8,5.7,-1.1,87.2,95,66,1012.8,1017.5,1006.7,1.6,5.9,SSE,32.2
2010-01-06,11.4,14.8,5.4,69.6,91,51,1003.9,1006.9,1001.3,0.0,8.7,SW,41.8
2010-01-07,11.6,17.1,4.4,62.2,86,46,1008.5,1013.9,1003.5,0.0,4.1,S,33.8
2010-01-08,9.0,12.3,4.0,80.7,90,70,1012.9,1014.4,1010.9,0.0,3.5,SW,32.2
2010-01-09,10.0,13.1,6.9,81.4,93,53,1006.4,1010.9,1003.7,5.0,8.7,SW,46.7
2010-01-10,6.7,10.3,2.6,66.2,80,51,1005.2,1008.3,1003.4,0.0,3.9,WSW,25.7
2010-01-11,5.6,9.6,1.8,68.3,84,51,1011.4,1013.1,1008.5,0.0,4.8,WSW,32.2
2010-01-12,3.4,4.3,2.6,91.6,94,82,1009.4,1011.1,1008.2,0.6,1.8,N,12.9
2010-01-13,2.9,4.7,0.8,89.8,96,80,1007.9,1009.2,1007.1,0.0,1.0,NE,9.7
2010-01-14,3.5,5.2,2.2,88.0,93,79,1009.3,1012.2,1007.3,0.0,0.9,SSE,16.1
2010-01-15,3.5,5.1,2.3,92.3,95,87,1015.3,1019.3,1012.2,2.0,1.7,S,16.1
2010-01-16,2.0,2.5,1.2,91.4,95,85,1021.7,1023.3,1019.3,1.8,1.7,S,17.7
2010-01-17,2.2,3.1,1.7,88.6,92,86,1020.5,1022.8,1017.1,0.0,2.5,SSE,19.3
2010-01-18,2.3,4.1,1.1,90.1,95,83,1016.2,1017.1,1014.9,0.0,5.3,NNW,19.3
