Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,12.3,16.8,8.6,74.9,87,59,1001.3,1004.2,1000.2,5.8,12.7,SW,53.1
2010-01-02,7.9,10.3,6.2,88.7,94,72,1003.8,1007.9,999.2,19.4,3.6,SW,38.6
2010-01-03,4.8,9.3,-1.5,79.8,94,65,1012.7,1018.2,1007.6,10.0,3.8,SW,38.6
2010-01-04,2.3,5.4,-2.2,78.7,94,61,1020.0,1021.7,1017.9,0.6,0.4,ENE,11.3
2010-01-05,8.4,11.6,3.1,90.1,94,84,1014.2,1018.5,1009.6,3.4,7.5,SE,38.6
2010-01-06,12.8,17.1,11.0,84.3,91,62,1008.1,1010.1,1006.2,1.2,9.8,SE,45.1
2010-01-07,10.3,14.1,3.9,86.1,96,74,1013.3,1016.6,1009.7,0.0,4.3,SE,27.4
2010-01-08,11.3,18.3,5.3,67.9,96,41,1014.4,1016.8,1012.0,0.0,5.8,SSE,43.5
2010-01-09,10.7,16.2,6.7,76.7,93,58,1009.6,1012.0,1007.2,11.6,7.2,SE,46.7
2010-01-10,5.0,8.8,2.1,89.7,95,74,1010.7,1014.7,1008.0,13.8,3.4,SE,35.4
2010-01-11,4.4,8.7,1.0,89.6,97,68,1016.6,1019.0,1014.0,5.0,0.7,SE,16.1
2010-01-12,5.2,6.8,4.0,95.1,100,92,1010.8,1013.9,1009.3,4.2,0.4,E,9.7
2010-01-13,5.7,8.4,2.5,87.7,97,66,1008.7,1011.0,1005.6,0.6,0.5,ESE,9.7
2010-01-14,5.5,9.5,1.8,87.0,97,70,1008.4,1012.6,1005.4,0.2,0.3,SE,9.7
2010-01-15,7.0,11.8,3.4,79.4,96,60,1013.7,1014.6,1012.5,0.0,1.6,ESE,17.7
2010-01-16,6.4,8.8,1.6,73.1,87,59,1017.4,1020.5,1014.0,1.8,3.2,ENE,32.2
2010-01-17,6.0,11.1,0.4,80.0,95,62,1019.5,1021.4,1017.4,0.2,0.3,W,8.0
2010-01-18,5.6,11.2,0.9,84.1,95,58,1015.5,1017.4,1013.7,1.0,1.0,WNW,14.5
2010-01-19,1.6,8.2,-3.1,77.7,96,49,1013.1,1014.2,1011.5,0.2,3.4,WNW,32.2
2010-01-20,0.0,7.6,-5.4,78.9,94,45,1015.1,1017.3,1013.6,0.0,0.6,WNW,17.7
2010-01-21,2.2,8.3,-5.8,75.2,100,57,1014.9,1017.7,1010.6,0.2,2.6,ENE,30.6
2010-01-22,3.8,6.6,0.2,76.7,96,60,1011.0,1013.9,1009.2,4.0,1.0,S,22.5
2010-01-23,1.9,7.1,-3.2,80.2,96,53,1017.6,1021.0,1013.9,0.0,1.5,SE,14.5
2010-01-24,-0.7,7.2,-6.2,85.9,95,63,1022.9,1025.5,1021.0,0.0,0.3,NW,12.9
2010-01-25,2.1,7.0,-2.2,75.7,95,58,1027.3,1029.1,1025.7,0.0,2.4,ENE,20.9
2010-01-26,2.3,5.2,-0.6,80.7,92,63,1026.8,1028.9,1023.6,0.0,0.6,W,11.3
2010-01-27,1.6,2.6,0.2,93.8,96,91,1017.8,1023.6,1010.3,4.0,1.1,SSE,14.5
2010-01-28,4.9,7.9,1.7,94.5,97,88,1004.7,1010.3,999.6,6.0,1.0,SE,17.7
2010-01-29,6.4,10.6,4.9,92.7,97,80,998.4,999.7,997.0,6.0,1.3,SSE,22.5
2010-01-30,6.9,10.9,4.8,93.4,98,83,999.8,1001.2,998.0,9.6,4.7,SE,37.0
2010-01-31,6.0,9.8,4.3,91.0,97,74,1002.4,1007.5,996.9,35.6,2.4,SE,33.8
2010-02-01,5.0,8.2,0.8,89.1,95,75,1007.2,1009.9,1004.5,19.8,2.9,WNW,32.2
2010-02-02,1.5,6.3,-4.2,68.4,95,37,1012.0,1018.9,1008.2,0.2,7.4,WNW,45.1
2010-02-03,-1.0,6.1,-6.8,63.0,91,30,1022.8,1025.5,1019.0,0.0,1.4,WNW,22.5
2010-02-04,0.9,10.8,-5.7,79.0,96,50,1025.1,1026.5,1023.4,0.0,0.7,W,14.5
2010-02-05,3.5,12.2,-5.1,79.3,96,52,1023.4,1025.4,1020.3,0.2,2.8,SSE,25.7
2010-02-06,4.8,7.6,1.7,92.3,97,83,1011.4,1020.1,1005.0,23.2,5.0,SE,37.0
2010-02-07,4.7,7.2,2.3,93.9,100,87,1000.7,1004.7,999.1,12.4,1.2,SE,33.8
