Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,16.6,18.5,14.1,72.0,92,52,1002.2,1003.3,1000.4,0.2,16.0,WSW,54.7
2010-01-02,14.4,15.7,11.6,69.8,89,60,1005.1,1009.0,1001.6,0.2,13.7,WSW,40.2
2010-01-03,11.7,14.6,8.8,57.6,70,49,1014.5,1019.3,1008.8,0.0,15.5,NW,48.3
2010-01-04,9.4,11.2,6.1,63.9,81,49,1019.4,1021.3,1016.5,0.6,5.0,ESE,20.9
2010-01-05,14.4,17.3,9.6,85.5,92,78,1012.1,1016.3,1007.4,6.0,14.7,SE,46.7
2010-01-06,17.0,18.9,13.4,81.3,94,74,1007.5,1010.5,1005.1,0.0,13.4,SSE,51.5
2010-01-07,13.8,16.9,10.8,90.7,97,78,1013.5,1015.6,1010.2,0.0,2.7,SE,24.1
2010-01-08,17.5,19.2,11.3,63.5,95,53,1012.4,1014.9,1010.2,0.0,14.7,SE,54.7
2010-01-09,16.3,18.4,10.3,67.6,84,52,1009.4,1012.5,1007.6,4.6,17.2,SE,54.7
2010-01-10,10.3,13.5,8.3,81.0,94,62,1011.4,1015.4,1009.1,9.2,5.6,SSE,38.6
2010-01-11,9.0,12.7,4.9,89.3,96,70,1016.5,1019.1,1014.0,12.2,2.8,SW,24.1
2010-01-12,10.1,12.3,6.8,87.2,95,80,1011.1,1013.9,1009.5,9.2,4.2,NE,33.8
2010-01-13,8.9,11.8,5.3,91.2,97,77,1008.9,1011.0,1005.7,4.8,0.8,SW,19.3
2010-01-14,10.3,14.0,6.3,85.4,98,57,1008.6,1012.8,1005.7,0.4,0.4,E,9.7
2010-01-15,11.4,14.3,6.8,79.6,97,55,1013.4,1014.6,1012.7,0.6,2.5,NE,22.5
2010-01-16,10.9,13.7,9.6,77.6,87,55,1017.6,1020.5,1013.7,7.2,8.0,NE,30.6
2010-01-17,10.5,13.1,7.9,80.8,92,67,1019.9,1021.0,1018.8,0.0,1.6,NE,19.3
2010-01-18,10.5,13.6,6.8,77.8,94,62,1016.5,1018.8,1014.9,0.2,4.4,WSW,29.0
2010-01-19,8.6,12.1,3.6,63.3,87,46,1013.9,1014.9,1012.6,0.0,6.7,WNW,35.4
2010-01-20,6.4,11.3,1.6,73.9,92,47,1015.0,1016.9,1013.9,0.0,3.2,SW,25.7
2010-01-21,9.1,12.0,3.4,68.9,96,48,1013.8,1017.0,1011.1,0.4,6.0,ESE,27.4
2010-01-22,8.9,11.9,5.6,71.8,91,55,1011.8,1014.8,1010.2,0.6,6.9,WNW,38.6
2010-01-23,6.5,10.6,2.9,78.2,94,49,1017.9,1020.8,1014.7,0.4,2.6,NE,22.5
2010-01-24,5.9,10.6,1.7,79.1,95,58,1022.5,1024.6,1020.7,0.0,2.3,SW,19.3
2010-01-25,6.7,10.3,2.0,80.2,94,63,1026.5,1028.1,1024.6,0.0,0.5,SE,12.9
2010-01-26,8.5,9.9,6.2,79.2,90,62,1025.9,1028.0,1022.7,1.8,4.6,SE,24.1
2010-01-27,8.8,10.3,7.7,86.2,93,72,1016.3,1022.9,1009.2,11.6,7.7,SE,32.2
2010-01-28,10.2,12.3,8.8,93.2,97,86,1004.2,1009.2,999.6,5.0,2.2,SW,24.1
2010-01-29,10.0,13.2,5.6,87.6,96,69,998.9,1000.5,997.9,0.8,2.4,SW,19.3
2010-01-30,11.4,15.3,5.6,85.5,98,69,999.5,1000.9,997.1,10.6,8.0,SSE,45.1
2010-01-31,12.9,14.3,10.3,73.5,94,60,1002.5,1007.0,996.4,3.4,12.2,SW,41.8
2010-02-01,10.6,13.9,7.0,71.2,85,59,1008.3,1011.2,1005.0,5.0,9.8,WNW,41.8
2010-02-02,8.3,10.3,3.6,54.2,68,39,1014.0,1020.2,1009.8,0.0,14.1,NW,45.1
2010-02-03,5.6,9.8,-0.1,61.3,86,35,1023.1,1024.7,1020.2,0.0,3.8,WSW,24.1
2010-02-04,7.4,12.9,2.8,81.5,94,65,1024.4,1025.5,1023.4,0.0,1.2,W,16.1
2010-02-05,9.3,13.4,2.7,82.9,96,63,1022.4,1024.4,1018.8,1.4,5.7,SE,32.2
2010-02-06,12.2,13.4,10.4,88.1,95,80,1010.0,1018.6,1003.2,23.2,10.2,SE,48.3
2010-02-07,9.4,12.5,5.3,89.3,97,76,1000.7,1003.3,999.6,17.0,3.9,SE,32.2
2010-02-08,8.5,12.8,4.5,81.3,98,54,1001.5,1005.5,999.5,1.8,5.1,WNW,35.4
2010-02-09,8.8,12.6,2.8,81.2,96,64,1006.7,1008.3,1004.1,0.4,4.6,ESE,29.0
2010-02-10,12.9,14.7,11.5,82.1,95,62,994.7,1004.0,990.5,25.6,10.3,SE,41.8
2010-02-11,11.7,14.0,8.6,82.5,96,64,998.1,1003.8,992.5,13.2,8.9,SW,40.2
2010-02-12,9.0,12.4,5.7,91.5,96,73,1003.4,1006.1,1000.2,34.8,5.4,SE,35.4
2010-02-13,8.3,11.4,4.1,77.0,95,54,1010.3,1014.6,1004.6,2.2,8.2,SSE,41.8
2010-02-14,8.9,12.3,6.1,86.0,95,62,1004.0,1014.0,992.4,21.8,9.7,SE,51.5
2010-02-15,10.0,13.6,7.4,83.8,96,66,1006.9,1012.3,996.2,0.4,5.9,WNW,45.1
2010-02-16,11.5,14.1,6.9,85.7,97,75,1009.2,1012.3,1003.3,1.2,5.1,SE,27.4
2010-02-17,14.8,17.1,11.4,84.8,94,69,1004.4,1009.2,1000.5,0.4,7.9,SE,37.0
2010-02-18,14.2,17.5,9.3,89.5,97,81,1010.3,1013.6,1008.4,0.0,4.6,SE,24.1
2010-02-19,14.5,19.4,8.1,79.7,98,54,1007.8,1013.4,1001.2,0.2,7.1,SE,53.1
2010-02-20,15.7,18.4,11.9,81.6,90,73,1002.0,1005.1,999.9,1.0,6.5,ESE,29.0
2010-02-21,11.6,14.8,5.8,66.1,90,45,1010.8,1016.7,1005.3,0.0,10.9,W,45.1
2010-02-22,10.5,14.2,5.6,86.2,94,66,1014.7,1016.7,1012.0,10.0,6.5,SE,38.6
