Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,16.6,23.5,7.6,59.9,97,29,1007.2,1011.0,1005.2,0.4,13.8,W,62.8
2010-01-02,14.9,17.2,10.9,52.9,78,37,1008.2,1010.9,1005.3,2.8,13.4,W,66.0
2010-01-03,12.9,16.3,8.8,54.5,64,44,1013.1,1018.0,1010.5,0.0,14.2,NNW,51.5
2010-01-04,8.7,13.3,5.0,70.4,94,45,1021.2,1023.0,1018.1,0.0,4.7,ESE,30.6
2010-01-05,11.2,15.8,7.4,89.0,94,77,1019.1,1021.9,1016.1,0.0,2.5,W,37.0
2010-01-06,13.3,19.0,9.1,86.5,96,68,1014.3,1016.4,1012.6,0.0,5.5,W,41.8
2010-01-07,12.7,19.2,7.6,91.5,97,74,1017.6,1021.2,1014.2,0.2,2.0,ESE,19.3
2010-01-08,11.2,18.5,4.7,89.5,100,66,1019.7,1021.4,1017.6,0.2,4.2,ESE,30.6
2010-01-09,12.1,17.7,7.6,91.8,98,77,1015.8,1017.7,1014.2,0.0,2.2,ESE,27.4
2010-01-10,10.9,16.1,5.7,72.6,97,37,1014.1,1016.7,1011.3,6.0,8.5,W,56.3
2010-01-11,8.4,13.2,5.1,80.9,95,54,1018.5,1020.7,1016.6,0.2,2.8,W,24.1
2010-01-12,8.4,12.5,6.9,93.5,97,81,1013.0,1017.3,1010.5,6.0,1.2,WSW,12.9
2010-01-13,8.8,13.6,5.0,84.6,100,59,1010.3,1012.2,1007.3,0.2,3.0,NNW,25.7
2010-01-14,9.6,13.3,6.9,88.8,96,73,1009.1,1013.8,1006.0,5.2,2.2,NW,16.1
2010-01-15,9.8,13.8,4.0,87.7,97,72,1015.6,1017.2,1014.0,3.6,2.1,SE,17.7
2010-01-16,9.3,10.6,8.2,88.5,96,75,1018.0,1021.0,1015.1,10.6,7.3,WNW,33.8
2010-01-17,9.3,14.6,3.4,76.6,95,57,1020.2,1021.8,1018.8,0.0,8.8,WNW,37.0
2010-01-18,7.0,11.7,2.7,91.4,96,77,1016.8,1019.5,1014.9,0.0,0.6,W,12.9
2010-01-19,6.8,13.1,1.3,81.5,100,57,1013.8,1014.9,1012.2,0.4,3.3,NNW,22.5
2010-01-20,5.5,12.1,0.5,78.2,95,50,1015.9,1018.8,1014.1,0.0,3.6,NNW,27.4
2010-01-21,5.0,10.1,-0.5,88.7,95,67,1016.7,1019.7,1011.3,26.4,2.3,NW,17.7
2010-01-22,7.4,12.9,4.4,87.5,100,63,1011.3,1016.2,1008.1,4.8,4.3,WNW,29.0
2010-01-23,5.0,9.6,0.3,90.2,97,62,1019.1,1021.3,1016.2,4.8,1.9,WNW,17.7
2010-01-24,5.8,11.2,0.5,77.2,93,46,1023.5,1026.4,1020.9,0.0,3.6,NW,20.9
2010-01-25,6.1,10.2,1.1,77.9,95,52,1028.8,1031.8,1026.2,0.4,2.6,SE,17.7
2010-01-26,4.5,7.6,-0.2,81.6,93,67,1030.5,1032.6,1027.5,0.0,1.7,NW,12.9
2010-01-27,3.7,5.8,-0.6,93.9,96,83,1020.9,1027.8,1012.7,4.4,0.4,WSW,9.7
2010-01-28,8.2,10.3,5.7,95.5,97,91,1007.9,1012.5,1003.8,2.4,0.6,WSW,12.9
2010-01-29,10.1,15.5,7.1,87.1,99,51,1002.5,1004.0,1000.5,6.8,3.5,NW,32.2
2010-01-30,9.7,14.7,6.6,88.9,98,60,1004.2,1005.5,1003.0,4.2,3.2,WNW,22.5
2010-01-31,10.4,13.8,7.1,79.9,96,54,1007.3,1013.1,1002.6,9.4,5.8,NNW,40.2
2010-02-01,9.3,14.2,7.1,88.7,96,66,1011.0,1012.7,1009.2,7.8,3.7,SSE,38.6
2010-02-02,6.9,10.8,1.3,76.3,97,49,1010.9,1018.8,1002.8,9.2,10.3,NW,49.9
2010-02-03,4.3,10.8,-0.7,52.5,87,24,1022.3,1025.0,1018.9,0.2,6.9,NNW,33.8
2010-02-04,6.8,15.7,0.9,70.5,95,42,1024.7,1026.4,1022.9,0.0,5.0,W,25.7
2010-02-05,7.6,14.6,0.6,80.6,96,50,1025.2,1026.5,1023.7,0.0,2.3,NNW,20.9
2010-02-06,9.6,13.1,7.2,91.5,97,74,1016.2,1024.2,1007.7,9.4,2.6,SE,24.1
2010-02-07,8.4,10.2,6.6,95.2,100,90,1003.3,1008.2,1000.9,16.8,2.1,NW,17.7
2010-02-08,8.7,15.2,4.8,84.4,97,53,1002.3,1007.2,999.9,1.8,3.9,NW,30.6
2010-02-09,7.1,12.8,1.6,85.3,96,54,1009.8,1010.9,1007.1,0.0,2.0,ESE,20.9
2010-02-10,10.2,12.8,6.4,96.4,100,92,1002.0,1009.4,997.5,33.0,3.8,SE,29.0
2010-02-11,9.3,12.9,7.4,89.5,100,60,1003.4,1008.5,999.1,5.4,3.9,W,35.4
2010-02-12,10.7,16.2,7.1,88.7,97,51,1008.1,1010.1,1005.1,20.6,6.6,WSW,48.3
2010-02-13,10.2,15.3,3.1,62.2,89,45,1012.7,1016.2,1009.2,0.2,9.0,NNW,51.5
2010-02-14,8.4,13.6,3.1,87.3,96,71,1008.6,1015.5,1000.4,6.0,2.6,WSW,48.3
