Date,T_mean,T_max,T_min,RH_mean,RH_max,RH_min,Prs_mean,Prs_max,Prs_min,Ac_R,WS_mean,DWD,WG
2010-01-01,18.5,20.2,17.4,75.6,86,64,1005.7,1008.6,1003.2,0.0,18.8,SW,46.7
2010-01-02,17.1,18.2,15.7,66.6,80,53,1005.9,1009.0,1003.7,0.0,14.9,WSW,46.7
2010-01-03,15.5,18.0,11.8,58.9,70,44,1011.1,1015.8,1008.3,0.0,11.4,WNW,43.5
2010-01-04,10.0,12.2,8.7,59.0,66,47,1020.9,1023.0,1015.9,0.0,11.0,NNE,38.6
2010-01-05,13.0,15.8,7.8,70.6,81,61,1020.0,1022.3,1017.5,0.0,8.9,S,35.4
2010-01-06,17.1,18.4,15.7,79.7,84,73,1015.8,1017.6,1014.1,0.0,15.1,S,46.7
2010-01-07,17.3,18.6,15.8,84.0,91,77,1018.1,1020.9,1015.5,0.0,9.8,S,35.4
2010-01-08,16.9,18.7,15.2,82.5,91,75,1020.4,1022.1,1017.9,0.0,9.4,SE,37.0
2010-01-09,17.5,18.9,15.8,81.2,86,73,1016.3,1017.9,1014.5,0.0,9.5,SE,38.6
2010-01-10,16.0,17.7,13.3,72.9,91,58,1013.2,1014.6,1012.0,1.8,17.7,SW,51.5
2010-01-11,14.0,15.2,12.7,60.3,68,55,1016.6,1018.5,1013.8,0.0,11.3,WNW,45.1
2010-01-12,13.1,14.9,11.8,78.6,89,60,1011.9,1016.0,1009.2,5.6,5.1,SW,30.6
2010-01-13,12.4,14.2,10.5,78.8,87,69,1009.5,1010.7,1008.1,2.4,4.9,N,22.5
2010-01-14,12.0,13.6,10.3,85.2,88,80,1008.5,1012.1,1006.4,1.8,4.3,NNE,20.9
2010-01-15,13.2,15.5,12.1,75.0,85,66,1015.4,1017.3,1012.2,0.2,9.1,NNE,33.8
2010-01-16,12.3,13.7,11.3,85.4,91,79,1017.8,1019.4,1016.6,5.4,14.2,ENE,48.3
2010-01-17,11.6,12.7,10.6,86.2,92,82,1019.2,1020.9,1016.8,3.2,17.4,NNE,49.9
2010-01-18,12.3,13.7,10.8,77.5,84,71,1014.3,1017.1,1012.1,1.4,13.6,NNE,37.0
2010-01-19,10.2,12.1,8.1,75.0,82,67,1012.3,1013.0,1011.7,1.0,11.8,NNE,37.0
2010-01-20,8.5,10.8,7.1,78.7,85,70,1014.0,1017.4,1011.5,0.8,10.2,N,35.4
2010-01-21,10.3,12.8,6.8,69.1,91,51,1017.0,1019.6,1010.1,6.4,6.8,N,32.2
2010-01-22,10.6,14.4,7.3,80.2,92,72,1007.9,1014.4,1003.3,3.8,18.0,N,53.1
2010-01-23,7.7,9.9,6.2,69.5,75,62,1017.9,1019.9,1014.3,0.0,16.2,NNE,62.8
2010-01-24,6.3,7.7,5.8,67.7,73,61,1022.3,1025.5,1018.8,0.0,17.3,NNE,59.5
2010-01-25,5.4,6.9,3.8,60.1,72,53,1029.6,1032.3,1025.6,0.0,12.2,NNE,53.1
2010-01-26,5.7,7.3,3.8,58.9,66,51,1030.4,1032.3,1027.0,0.0,10.6,NNE,48.3
2010-01-27,8.4,10.3,5.7,72.8,90,58,1020.6,1027.2,1012.3,1.2,6.7,NNE,41.8
2010-01-28,12.1,15.0,8.7,81.4,88,74,1007.3,1012.3,1002.2,0.8,9.7,NNE,38.6
2010-01-29,15.6,16.8,14.6,75.8,82,71,1001.8,1003.7,1000.6,0.0,19.2,WSW,46.7
2010-01-30,15.6,16.7,14.9,73.0,79,63,1003.6,1005.4,1002.2,0.0,12.2,WSW,46.7
2010-01-31,15.3,16.7,14.2,69.4,82,58,1006.2,1011.8,1003.2,1.0,18.6,SW,54.7
2010-02-01,15.6,16.9,14.3,74.4,84,63,1010.9,1012.3,1009.1,0.6,20.8,SW,51.5
2010-02-02,9.8,15.8,4.7,79.8,87,68,1008.3,1015.4,1002.4,12.2,16.5,NNW,70.8
2010-02-03,4.7,7.0,2.6,76.4,89,59,1020.7,1023.4,1015.1,11.0,8.1,NNE,49.9
2010-02-04,8.7,11.9,4.0,61.5,73,39,1023.6,1024.7,1022.2,0.2,4.2,NNW,24.1
2010-02-05,8.9,11.9,6.3,66.7,77,54,1024.8,1026.0,1023.9,0.0,6.7,NE,32.2
2010-02-06,11.1,14.2,6.3,70.9,82,59,1017.9,1023.9,1010.5,2.4,12.4,NE,51.5
2010-02-07,13.0,14.0,10.9,81.9,88,73,1004.4,1010.6,998.9,19.2,19.9,SW,64.4
2010-02-08,11.6,13.9,9.1,77.5,87,72,1001.5,1005.9,998.4,5.8,11.2,NNE,38.6
2010-02-09,11.0,13.1,8.9,75.5,88,66,1009.8,1011.8,1005.9,0.2,6.3,NNE,27.4
2010-02-10,15.4,17.2,12.1,79.4,85,75,1004.5,1011.1,998.7,2.6,20.3,SE,61.2
2010-02-11,15.4,16.5,14.4,72.9,89,66,1003.2,1008.5,998.3,13.0,23.0,SW,48.3
2010-02-12,16.1,17.8,12.9,74.8,84,68,1009.2,1011.0,1007.8,1.4,14.8,S,43.5
2010-02-13,14.6,16.7,10.7,66.9,83,56,1011.8,1014.8,1009.1,0.0,11.8,WSW,43.5
2010-02-14,14.6,17.6,10.5,78.0,86,64,1008.4,1014.7,999.5,0.0,8.5,W,40.2
2010-02-15,15.5,17.3,12.7,72.0,87,58,1005.6,1012.4,998.6,0.0,10.4,WNW,41.8
2010-02-16,14.3,16.8,12.2,75.7,83,59,1012.9,1014.2,1010.8,0.0,4.3,NNW,17.7
2010-02-17,16.6,19.5,13.7,81.1,88,69,1008.7,1010.7,1006.7,0.0,10.0,S,37.0
2010-02-18,17.0,19.5,14.1,80.6,88,65,1011.6,1013.2,1010.1,0.0,4.4,W,25.7
2010-02-19,16.9,18.7,13.4,73.3,87,60,1013.3,1015.9,1008.9,0.0,3.7,W,22.5
2010-02-20,18.3,20.6,16.2,76.3,90,64,1006.3,1008.8,1004.7,0.4,11.2,SW,45.1
2010-02-21,15.8,17.6,12.9,62.8,89,48,1008.2,1015.5,1003.2,0.0,15.9,WNW,48.3
2010-02-22,13.2,14.7,9.9,54.7,81,42,1017.1,1018.5,1015.2,0.0,3.3,N,24.1
2010-02-23,15.5,17.3,12.1,77.1,85,71,1013.6,1015.8,1010.6,0.0,7.9,SSW,29.0
2010-02-24,15.9,18.0,13.3,82.9,90,73,1005.8,1010.5,1002.0,0.0,5.3,SSW,29.0
2010-02-25,15.2,18.2,11.8,72.0,85,59,1003.5,1007.6,1000.5,1.2,7.6,NNE,33.8
2010-02-26,13.8,16.4,11.4,76.9,86,66,1009.4,1010.5,1007.4,0.0,7.5,NNE,35.4
2010-02-27,15.1,18.6,11.9,72.5,89,50,1005.3,1008.5,1002.6,1.6,9.7,NNE,43.5
2010-02-28,12.6,15.0,10.4,73.4,84,64,1014.7,1017.3,1008.3,3.4,9.0,NNE,45.1
2010-03-01,15.1,17.3,11.3,80.5,86,74,1014.7,1016.7,1011.6,0.0,3.3,WNW,19.3
2010-03-02,16.2,19.8,13.3,77.6,88,62,1012.5,1016.0,1010.6,0.0,4.4,WNW,33.8
2010-03-03,14.2,16.3,11.4,64.8,80,51,1020.0,1022.0,1015.8,0.0,7.5,N,37.0
2010-03-04,15.6,18.5,11.1,74.5,90,58,1009.0,1017.9,1003.9,0.0,10.7,NE,41.8
2010-03-05,16.8,19.2,14.7,75.0,88,61,1007.1,1010.5,1003.9,0.0,8.2,WNW,33.8
2010-03-06,15.5,18.6,11.9,70.5,76,54,1011.6,1017.6,1009.2,0.0,10.6,WSW,40.2
2010-03-07,11.0,12.2,10.2,76.4,87,59,1017.6,1020.1,1011.8,1.0,13.7,NNE,45.1
2010-03-08,13.9,18.0,11.1,87.1,91,80,1004.3,1011.9,999.7,0.0,17.5,NNE,51.5
2010-03-09,12.3,15.6,10.6,80.8,91,71,1011.4,1018.6,1002.7,2.2,11.6,NE,41.8
2010-03-10,12.7,14.8,10.4,76.6,83,69,1016.5,1019.6,1011.3,0.0,11.6,NNE,43.5
2010-03-11,14.5,17.1,11.8,82.4,88,75,1012.6,1015.0,1010.5,0.0,6.9,NNE,30.6
2010-03-12,14.3,16.8,11.6,69.6,90,56,1015.4,1016.3,1014.2,0.0,5.5,WNW,30.6
2010-03-13,14.2,17.6,11.7,66.7,84,53,1014.9,1016.7,1012.6,1.4,6.2,NNE,22.5
2010-03-14,12.1,13.7,11.1,70.6,84,59,1011.5,1013.1,1010.4,0.2,14.3,NNE,43.5
2010-03-15,11.2,13.3,9.6,60.5,73,48,1014.3,1019.4,1010.1,0.0,10.9,NNE,49.9
2010-03-16,11.3,14.9,8.3,54.5,71,37,1022.8,1024.5,1019.3,0.0,3.9,NNE,27.4
2010-03-17,11.4,14.9,8.2,65.5,76,52,1025.2,1030.2,1022.6,3.2,6.8,NNE,38.6
2010-03-18,10.5,13.1,7.8,61.4,76,51,1031.4,1033.4,1029.9,0.0,7.6,NE,40.2
2010-03-19,12.4,15.7,8.4,61.7,75,49,1031.4,1032.6,1030.3,0.0,5.7,NE,38.6
2010-03-20,13.3,17.0,9.7,65.7,79,49,1029.7,1031.1,1028.0,0.0,4.0,WNW,20.9
2010-03-21,14.5,17.6,10.4,78.5,86,69,1026.8,1028.7,1024.3,0.0,3.8,WNW,17.7
2010-03-22,14.7,17.6,11.4,79.5,89,68,1021.8,1024.3,1018.9,0.0,2.5,WSW,12.9
2010-03-23,15.8,19.6,12.2,75.9,84,58,1016.3,1018.8,1013.9,0.0,7.4,WSW,43.5
2010-03-24,15.3,17.8,14.0,76.6,83,66,1014.7,1016.6,1012.9,0.0,12.2,NNE,43.5
2010-03-25,14.8,16.7,13.3,72.2,81,65,1017.3,1018.9,1015.8,0.0,23.1,NNE,66.0
2010-03-26,14.2,15.8,13.4,67.6,77,58,1018.4,1019.9,1016.8,0.0,27.2,NNE,70.8
2010-03-27,15.3,20.3,13.2,63.9,82,37,1014.8,1018.3,1008.9,0.0,9.5,NE,53.1
2010-03-28,16.6,19.5,13.7,66.8,88,45,1008.3,1011.6,1006.3,0.0,8.2,NNE,45.1
2010-03-29,15.8,19.3,12.1,56.2,73,38,1016.2,1019.9,1011.5,0.0,7.8,NNE,30.6
2010-03-30,15.8,18.2,11.8,78.3,85,66,1019.3,1020.9,1017.7,0.0,7.1,NNE,27.4
2010-03-31,17.5,19.9,14.2,75.5,88,58,1014.0,1017.5,1011.1,0.0,8.7,SSW,38.6
2010-04-01,17.0,20.0,14.2,82.0,91,64,1015.8,1017.1,1012.8,0.0,2.9,SW,14.5
2010-04-02,16.3,19.7,14.1,78.9,90,68,1014.3,1016.4,1012.5,0.0,6.5,SW,32.2
2010-04-03,16.1,19.3,12.8,71.9,85,52,1018.9,1020.9,1016.1,0.0,5.2,NNE,20.9
